SkillID;SkillName;SkillLevel;SkillDmgToArmor;SkillDmgToShield;Cost;Acc;StunChance;KnockoutChance;ChillChance;FlameChance;UpliftChance;SelfShieldDrain;SkillType;SkillDescription
0;Rzut;1;50;0;5;0;0;100;0;0;0;0;Biotyczne;Ciœnij przeciwnikiem za pomoc¹ tego uderzenia biotycznego, powalaj¹c go!
1;Rzut;2;50;0;5;5;0;100;0;0;0;0;Biotyczne;Ciœnij przeciwnikiem za pomoc¹ tego uderzenia biotycznego, powalaj¹c go!
2;Rzut;3;80;0;5;5;0;100;0;0;0;0;Biotyczne;Ciœnij przeciwnikiem za pomoc¹ tego uderzenia biotycznego, powalaj¹c go!
3;Rzut;4A;80;0;5;5;0;100;0;0;0;0;Biotyczne;Ciœnij przeciwnikiem za pomoc¹ tego uderzenia biotycznego, powalaj¹c go!
4;Rzut;4B;80;0;5;5;0;100;0;0;0;0;Biotyczne;Ciœnij przeciwnikiem za pomoc¹ tego uderzenia biotycznego, powalaj¹c go!
5;Rzut;5AA;80;0;5;5;0;100;0;0;0;0;Biotyczne;Ciœnij przeciwnikiem za pomoc¹ tego uderzenia biotycznego, powalaj¹c go!
6;Rzut;5AB;80;0;5;5;0;100;0;0;0;0;Biotyczne;Ciœnij przeciwnikiem za pomoc¹ tego uderzenia biotycznego, powalaj¹c go!
7;Rzut;5BA;80;0;5;5;0;100;0;0;0;0;Biotyczne;Ciœnij przeciwnikiem za pomoc¹ tego uderzenia biotycznego, powalaj¹c go!
8;Rzut;5BB;80;0;5;5;0;100;0;0;0;0;Biotyczne;Ciœnij przeciwnikiem za pomoc¹ tego uderzenia biotycznego, powalaj¹c go!
9;Rzut;6AAA;100;0;5;5;0;100;0;0;0;0;Biotyczne;Ciœnij przeciwnikiem za pomoc¹ tego uderzenia biotycznego, powalaj¹c go!
10;Rzut;6AAB;80;0;5;5;0;100;0;0;0;0;Biotyczne;Ciœnij przeciwnikiem za pomoc¹ tego uderzenia biotycznego, powalaj¹c go!
11;Rzut;6ABB;80;0;4;5;0;100;0;0;0;0;Biotyczne;Ciœnij przeciwnikiem za pomoc¹ tego uderzenia biotycznego, powalaj¹c go!
12;Rzut;6BBB;80;0;4;5;0;100;0;0;0;0;Biotyczne;Ciœnij przeciwnikiem za pomoc¹ tego uderzenia biotycznego, powalaj¹c go!
13;Rzut;6BBA;100;0;4;5;0;100;0;0;0;0;Biotyczne;Ciœnij przeciwnikiem za pomoc¹ tego uderzenia biotycznego, powalaj¹c go!
14;Rzut;6BAA;100;0;5;5;0;100;0;0;0;0;Biotyczne;Ciœnij przeciwnikiem za pomoc¹ tego uderzenia biotycznego, powalaj¹c go!
15;Rzut;6ABA;100;0;4;5;0;100;0;0;0;0;Biotyczne;Ciœnij przeciwnikiem za pomoc¹ tego uderzenia biotycznego, powalaj¹c go!
16;Rzut;6BAB;80;0;5;5;0;100;0;0;0;0;Biotyczne;Ciœnij przeciwnikiem za pomoc¹ tego uderzenia biotycznego, powalaj¹c go!
